task_id	attempt	action	duration_s	compile_ok	review_critical	review_high	decision	reason
task-01	2	review	489	true	0	1	pending	-
task-01	2	keep	489	true	0	1	keep	质量达标
task-01	1	develop+commit	893	true	0	0	keep	质量达标
task-02	2	review	514	true	0	2	pending	-
task-02	2	keep	514	true	0	2	keep	质量达标
task-02	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
task-04	2	review	608	true	0	0	pending	-
task-04	2	keep	608	true	0	0	keep	质量达标
task-04	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
task-05	2	review	589	true	0	2	pending	-
task-05	2	keep	589	true	0	2	keep	质量达标
task-05	1	develop+commit	939	true	0	0	keep	质量达标
task-03	2	review	450	true	1	0	pending	-
task-03	4	review	457	true	0	1	pending	-
task-03	4	keep	457	true	0	1	keep	质量达标
task-03	1	develop+commit	1738	true	0	0	keep	质量达标
task-01	2	review	489	true	0	1	pending	-
task-01	2	keep	489	true	0	1	keep	质量达标
task-01	1	develop+commit	893	true	0	0	keep	质量达标
task-02	2	review	514	true	0	2	pending	-
task-02	2	keep	514	true	0	2	keep	质量达标
task-02	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
task-04	2	review	608	true	0	0	pending	-
task-04	2	keep	608	true	0	0	keep	质量达标
task-04	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
task-05	2	review	589	true	0	2	pending	-
task-05	2	keep	589	true	0	2	keep	质量达标
task-05	1	develop+commit	939	true	0	0	keep	质量达标
task-06	2	review	547	true	0	2	pending	-
task-06	2	keep	547	true	0	2	keep	质量达标
task-06	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
task-01	2	review	489	true	0	1	pending	-
task-01	2	keep	489	true	0	1	keep	质量达标
task-01	1	develop+commit	893	true	0	0	keep	质量达标
task-02	2	review	514	true	0	2	pending	-
task-02	2	keep	514	true	0	2	keep	质量达标
task-02	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
task-04	2	review	608	true	0	0	pending	-
task-04	2	keep	608	true	0	0	keep	质量达标
task-04	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
task-05	2	review	589	true	0	2	pending	-
task-05	2	keep	589	true	0	2	keep	质量达标
task-05	1	develop+commit	939	true	0	0	keep	质量达标
task-07	2	review	412	true	1	2	pending	-
task-07	4	review	535	true	0	2	pending	-
task-07	4	keep	535	true	0	2	keep	质量达标
task-07	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
task-01	2	review	489	true	0	1	pending	-
task-01	2	keep	489	true	0	1	keep	质量达标
task-01	1	develop+commit	893	true	0	0	keep	质量达标
task-02	2	review	514	true	0	2	pending	-
task-02	2	keep	514	true	0	2	keep	质量达标
task-02	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
task-04	2	review	608	true	0	0	pending	-
task-04	2	keep	608	true	0	0	keep	质量达标
task-04	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
task-05	2	review	589	true	0	2	pending	-
task-05	2	keep	589	true	0	2	keep	质量达标
task-05	1	develop+commit	939	true	0	0	keep	质量达标
task-08	2	review	490	true	0	1	pending	-
task-08	2	keep	490	true	0	1	keep	质量达标
task-08	1	develop+commit(wt)	0	true	0	0	keep	worktree并行完成
